subject,file,channels_total,eeg_channels,srate,duration_seconds,median_eeg_std
sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,652.952,34.71472546431209
sub-001,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,615.048,28.173593001321716
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,724.484,38.455538733324445
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,762.98,46.811899546832684
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,764.904,51.43531358554616
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,725.416,45.40431795690771
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,727.164,33.73077911502889
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,783.996,80.00845656330542
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,784.34,66.05201036568073
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,672.884,78.52047827173762
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,673.052,212.19161027569828
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,736.284,457.83567817405003
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,634.688,49.07680194682967
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,660.864,131.3532957820403
sub-005,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,599.324,32.13455941554643
sub-005,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,613.916,19.7044360489602
sub-005,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,619.128,19.715124285914374
sub-005,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,608.168,16.798376383049987
sub-006,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,696.188,23.343754765157435
sub-006,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,575.532,24.21660907229083
sub-006,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,557.676,24.336406122854644
sub-006,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,560.676,25.433442622032132
sub-007,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,603.948,26.33587798030309
sub-007,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,557.3,27.83679125898248
sub-007,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,581.968,32.536370758139356
sub-007,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,601.46,29.209188936277382
sub-008,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,614.336,18.7501932487833
sub-008,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,875.644,34.7781724506089
sub-008,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,757.896,42.92543017056121
sub-008,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,1319.592,68.306535839971
sub-009,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,615.884,18.752772243698974
sub-009,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,628.78,52.08562453833077
sub-009,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,624.812,21.54163338391595
sub-009,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,637.028,14.808505584086303
sub-010,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,619.508,15.72949005860623
sub-010,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,593.304,16.400819619054097
sub-010,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,594.284,14.21662279456603
sub-010,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,591.84,17.15274120438537
sub-011,sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,751.388,11.77325127079867
sub-011,sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,766.588,13.422654406841309
sub-011,sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,850.524,13.333643671642616
sub-011,sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,250.0,813.804,16.803631515686895
sub-012,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,250.0,545.996,28.777895025687336
sub-012,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,250.0,563.74,30.120521782554633
sub-012,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,250.0,558.196,33.301000428727384
sub-014,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,1000.0,588.801,21.61205492048228
sub-014,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,1000.0,606.465,29.92705421982771
sub-014,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,1000.0,595.967,23.761305084245198
sub-015,sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,599.04,13.908210848886124
sub-015,sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,563.202,12.463204944148371
sub-015,sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,555.518,13.442116478483216
sub-016,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,776.194,19.892585121771496
sub-016,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,691.714,21.061862558409093
sub-016,sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,566.782,20.25898492842309
sub-017,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,556.546,20.303198461121475
sub-017,sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,555.01,21.756835582849288
sub-017,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,515.582,19.81854031647204
sub-018,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,617.984,14.919118830509502
sub-018,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,594.944,14.710095399376103
sub-018,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,585.214,14.4017335906739
sub-019,sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,638.978,13.902082630773158
sub-019,sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,627.712,14.575300102256346
sub-019,sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,655.358,15.159766322282605
sub-020,sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,599.554,15.00403606098485
sub-020,sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,616.962,15.771764065829984
sub-020,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,585.214,15.579336036443623
sub-021,sub-021_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,714.242,18.426744205913327
sub-021,sub-021_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,791.042,16.338132544363692
sub-021,sub-021_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,680.958,15.369049288382834
sub-022,sub-022_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0586756077117,577.982173089495,0.3835231363331011
sub-022,sub-022_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0586756077117,485.3190472199406,0.6477005415124327
sub-022,sub-022_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0586756077117,773.5452235278341,0.4094572717219982
sub-022,sub-022_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,500.0586756077117,691.6308362807382,0.41369819092069027
sub-022,sub-022_ses-01_task-WorkingMemory_run-5_eeg.set,71,69,500.0586756077117,696.2402953551134,0.5206894032051739
sub-022,sub-022_ses-01_task-WorkingMemory_run-6_eeg.set,71,69,500.0586756077117,808.3551385419984,1.4214104633633518
sub-023,sub-023_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0586756077117,721.8372915165027,0.3325567933292046
sub-023,sub-023_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0586756077117,708.5268535125803,0.28308272710405524
sub-023,sub-023_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0586756077117,713.644252979533,0.3640337200104078
sub-023,sub-023_ses-01_task-WorkingMemory_run-4_eeg.set,71,69,500.0586756077117,678.3223980421409,0.4710944265216268
sub-023,sub-023_ses-01_task-WorkingMemory_run-5_eeg.set,71,69,500.0586756077117,618.9373669477178,0.31434114834858556
sub-024,sub-024_ses-01_task-WorkingMemory_run-1_eeg.set,71,69,500.0,569.858,23.067563499619155
sub-024,sub-024_ses-01_task-WorkingMemory_run-2_eeg.set,71,69,500.0,563.202,27.5120914263754
sub-024,sub-024_ses-01_task-WorkingMemory_run-3_eeg.set,71,69,500.0,566.782,22.819790344611544
