file,subject,channels,samples,sampling_rate,trials_eeglab,fdt_exists,data_std,data_min,data_max,median_channel_std,max_channel_std,flat_channels,channels_over_5x,channels_over_10x
sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001,71.0,163238.0,250.0,1.0,True,50.63671112060547,-810.989013671875,1000.0001220703125,36.098533630371094,162.2525177001953,0,0,0
sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,sub-001,71.0,153762.0,250.0,1.0,True,34.30708694458008,-696.7033081054688,774.3590087890625,30.30324935913086,55.86240768432617,0,0,0
sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002,71.0,181121.0,250.0,1.0,True,51.58069610595703,-782.6617431640625,991.2088623046875,37.88561248779297,100.72063446044922,0,0,0
sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002,71.0,190745.0,250.0,1.0,True,61.8422737121582,-819.7802734375,1000.0001220703125,42.60980224609375,125.7527084350586,0,0,0
sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002,71.0,191226.0,250.0,1.0,True,64.39605712890625,-1000.0,1000.0001220703125,46.8305549621582,125.22232055664062,0,0,0
sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002,71.0,181354.0,250.0,1.0,True,63.6292724609375,-899.3894653320312,1000.0001220703125,52.44173812866211,163.54562377929688,0,0,0
sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,sub-003,71.0,181791.0,250.0,1.0,True,45.512939453125,-968.2539672851562,1000.0001220703125,34.1986198425293,72.61314392089844,0,0,0
sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,sub-003,71.0,195999.0,250.0,1.0,True,84.80831146240234,-1000.0,578.5104370117188,34.018436431884766,102.12632751464844,0,0,0
sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,sub-003,71.0,196085.0,250.0,1.0,True,70.58087921142578,-1000.0,659.5848999023438,31.115041732788086,140.2339630126953,0,0,0
sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,sub-003,71.0,168221.0,250.0,1.0,True,81.34529113769531,-1000.0,496.9475402832031,32.14842987060547,124.41943359375,0,0,0
sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,sub-004,71.0,168263.0,250.0,1.0,True,228.12820434570312,-1000.0,1000.0001220703125,94.63286590576172,828.416015625,0,1,0
sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,sub-004,71.0,184071.0,250.0,1.0,True,463.2611083984375,-1000.0,1000.0001220703125,113.01078033447266,881.1254272460938,0,4,0
sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,sub-004,71.0,158672.0,250.0,1.0,True,56.56907272338867,-1000.0,1000.0001220703125,26.5388240814209,135.55361938476562,0,1,0
sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,sub-004,71.0,165216.0,250.0,1.0,True,132.72303771972656,-1000.0,1000.0001220703125,20.51724624633789,386.6593017578125,0,4,3
sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005,71.0,149831.0,250.0,1.0,True,36.47655487060547,-532.1123046875,503.2967529296875,21.74575424194336,93.5999984741211,0,0,0
sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,sub-005,71.0,153479.0,250.0,1.0,True,29.8319149017334,-603.4187622070312,606.837646484375,21.47902488708496,81.73560333251953,0,0,0
sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,sub-005,71.0,154782.0,250.0,1.0,True,26.588626861572266,-778.7545776367188,649.3284912109375,22.227191925048828,74.81172943115234,0,0,0
sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,sub-005,71.0,152042.0,250.0,1.0,True,25.7388858795166,-511.5994873046875,494.50555419921875,21.030481338500977,69.0726089477539,0,0,0
sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,sub-006,71.0,174047.0,250.0,1.0,True,38.607452392578125,-399.26739501953125,661.0501098632812,36.21893310546875,55.04990768432617,0,0,0
sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,sub-006,71.0,143883.0,250.0,1.0,True,43.36189651489258,-329.91448974609375,1000.0001220703125,41.66250991821289,70.65989685058594,0,0,0
sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,sub-006,71.0,139419.0,250.0,1.0,True,45.99801254272461,-370.45172119140625,631.74609375,44.00352478027344,55.654579162597656,0,0,0
sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,sub-006,71.0,140169.0,250.0,1.0,True,49.77206802368164,-401.7093505859375,1000.0001220703125,47.38140869140625,91.7038803100586,0,0,0
sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,sub-007,71.0,150987.0,250.0,1.0,True,38.766727447509766,-767.5213623046875,1000.0001220703125,32.94742965698242,74.87956237792969,0,0,0
sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,sub-007,71.0,139325.0,250.0,1.0,True,36.63014221191406,-778.7545776367188,602.4420776367188,29.582239151000977,62.84463119506836,0,0,0
sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,sub-007,71.0,145492.0,250.0,1.0,True,40.66891860961914,-768.009765625,1000.0001220703125,31.679584503173828,75.64320373535156,0,0,0
sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,sub-007,71.0,150365.0,250.0,1.0,True,41.86857986450195,-792.4298095703125,1000.0001220703125,33.788780212402344,91.1829605102539,0,0,0
sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,sub-008,71.0,153584.0,250.0,1.0,True,38.953556060791016,-886.6911010742188,1000.0001220703125,32.862579345703125,97.82450866699219,0,0,0
